CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
34021120,N-metil-n-oleitaurato de sódio (agente orgânico de superfície),Sodium n-methyl-n-oleolyltaurate (org.surf.act.agen.),N-metil-n-oleoiltaurato de sodio(agente superf.organ),N-méthyl-N-oleitaurato sodium (agent de surface organique)
34021130,"Alquilsulfonato de sódio, secundário (agente orgânico de superfície)","Sodium alkylsulphonates, secondary (org.surf.act.agen.)","Alquilsulfonato de sodio, secundario(agente superf.org)","Alkyle sulfonate de sodium, secondaire (agent de surface organique)"
34021140,Mistura de ácidos alquilbenzenossulfônicos,Alquilbenzenossulphonated acid mixing,Mezcla de ácidos alquilbenzenossulfonicos,Mélange d'acides d'alkyle benzène sulfonique
34021190,"Outros agentes orgânicos de superfície, aniônicos","Other organic surface-active agents, anionic","Los dem.agentes de superficie orgánicos,  aniónicos","D'autres agents de surface organiques, anioniques"
34021210,Acetato de oleilamina (agente orgânico de superfície),Oleylamine acetate (organic surface-active agent),Acetato de oleilamina (agente de superficie orgánico),Acétate de oleylamine (agent de surface organique)
34021290,"Outros agentes orgânicos de superfície, catiônicos","Other organic surface-active agents,  cationic","Los dem.agentes de superficie orgánicos,  catiónicos","D'autres agents de surface organiques, cationiques"
34021300,"Agentes orgânicos de superfície, não iônicos","Organic surface-active agents , non-ionic","Agentes de superficie orgánicos,  no iónicos","Agents de surface organiques, non ioniques"
34021900,Outros agentes orgânicos de superfície,Other organic surface-active agents,Los demás agentes de superficie orgánicos,D'autres agents de surface organiques
34022000,"Preparações tensoativas, para lavagem e limpeza","Surface-active preparations, for wash and cleaning","Preparaciones tensoactivas,  para lavar y de limpieza","Préparations tensio-actives, de lavage et de nettoyage"
34029011,"Misturas entre si de agentes orgânicos de superfície, que contenham exclusivamente produtos não iônicos",Mixtures of surface-active agent cont.non-ionic prods,Mezclas de agente superf.orgán.que cont.prods.n/iónicos,Mélanges d'agent organique de surface contenant des produits non ionique
34029019,Outras misturas de agentes orgânicos de superfície,Other mixtures of surface-active agents,Las demás mezclas de agente de superf.orgánicos,D'autres mélanges d'agents de surface organiques
34029020,Soluções ou emulsões de produtos tensoativos,Solutions or emulsions of surface-active products,Soluciones o emulsiones de productos tensoactivos,Les solutions ou les emulsions d'agents tensioactifs
34029021,Soluções ou emulsões hidroalcoólicas de (1-perfluoralquil-2-acetoxi)propil-betaína,Hydro-alcoholic solutions or emulsions of (1-perfluor..,Soluciones o emulsiones hidroalcohólicas de(1-perfluor.,Des solutions ou des émulsions alcoolisées de (1-perfluoroalkyl-2-acétoxy)propyl-bétaïne
34029022,"Soluções, etc, à base de nonanoiloxibenzenossulfonato de sódio","Solutions, etc.a basis of nonanoyloxybenzenesulphonate","Soluciones, etc.de nonanoiloxibencenosulfonato","Solutions, etc., nonanoiloxibenzenossulfonato"
34029023,Soluções ou emulsões hidroalcoólicas de sulfonatos de perfluoralquiltrimetilamônio e de perfluoralquilacrilamida,"Solutions, etc.of perfluoroalkyltrimethyl.sulphonates","Soluciones, etc.de sulfonatos de perfluoroalquiltrimet.",Des solutions ou des émulsions hydroalcooliques de sulfonates de perfluoralkyletriméthyleaammonium et de perfluoralkyleacrylamide
34029029,"Outras soluções ou emulsões de produtos tensoativos, etc","Other solutions/emulsions of surface-active prods, etc",Las dem.soluciones o emulsiones de prod.tensoactiv.etc,"D'autres solutions ou d'émulsions d'agents tensioactifs, etc."
34029031,"Preparações para lavagem (detergentes), à base de nonilfenol etoxilado",Prepar.of ethoxylated nonylphenol(detergents)for wash,Prepars.de nonilfenol etoxilado (detergente) p/lavar,"Préparations pour lessives (détergents), basé sur nonylphénol éthoxylate"
34029039,Outras preparações para lavagem (detergentes),Other preparations for wash (detergents),Las dem.preparaciones para lavar (detergentes),Autres préparations pour laver (détergent)
34029090,Outras preparações tensoativas e preparações para limpeza,Other surface-active prepar.and prepar.for cleaning,Las dem.preparaciones tensoactivas y prepar.de limpieza,Autres préparations tensio-actifs et produits de nettoyage
34031110,"Preparações para o tratamento de matérias têxteis, que contenham óleos de petróleo ou de minerais betuminosos",Prep.cont.oils of petrol.etc.treat.of textile materials,"Prepars.qcont.aceites de petróleo, etc.p/trat.mat.textil","Préparations contenant des huiles de pétrole, sauf pour le traitement de matières textiles"
34031120,"Preparações para o tratamento de couros e peles, que contenham óleos de petróleo ou de minerais betuminosos",Prep.cont.oils of petrol.etc.treat.of leather/furskins,"Preps.qcont.aceites de petróleo, etc.p/trat.cueros/piele","Préparations contenant des huiles de pétrole, à l'exception pour le traitement des cuirs et peaux"
34031190,"Preparações para o tratamento de outras matérias, que contenham óleos de petróleo ou de minerais betuminosos",Prep.cont.oils of petrol.etc.fortreatment of other mat.,"Preps.qcont.aceites de petróleo, etc.p/trat.ots.materias","Préparations contenant des huiles de pétrole, etc, pour le traitement d'autres matériaux"
34031900,Outras preparações que contenham óleos de petróleo ou de minerais betuminosos,Prep.cont.oils of petroleum/bituminous minerals,Las dem.preps.qcont.aceites de petróleo/min.bituminosos,Autres préparations contenant de l'huile de pétrole et / ou de minéraux bitumineux
34039110,Outras preparações para o tratamento de matérias têxteis,Other preparations for treatment of textile materials,Las dem.preparaciones p/tratamiento de materia textil,Autres préparations pour le traitement des matières textiles
34039120,Outras preparações para o tratamento de couros e peles,Other preparations for treatment of leather/furskins,Las dem.preparaciones p/tratamiento de cueros y pieles,Autres préparations pour le traitement des cuirs et peaux
34039190,Outras preparações para o tratamento de outras matérias,Other preparations for treatment of other matters,Las dem.preparaciones p/ el tratamiento de ots.materias,Autres préparations pour le traitement d'autres matériaux
34039900,"Outras preparações lubrificantes/antiaderentes/antiferrugem, etc","Oth.preparat.of lubricating/anti-adherent/anti-rust, etc",Las dem.prep.lubricantes/antiherrumbre/anticorros.etc,"Autres préparations lubrifiantes/antiadhérence, etc"
34041000,Cera de linhita modificada químicamente,Waxes of chemically modified lignite,Cera de lignito modificado químicamente,Cire de lignite modifié chimiquement
34042010,Ceras artificiais de poli(oxietileno) (polietilenoglicol),Artificial waxes of polyethylene glycol,Ceras artificiales de polietilenglicoles,"Des cires artificielles, des polyéthylèneglycols"
34042020,Ceras preparadas de poli(oxietileno) (polietilenoglicol),Prapared waxes of polyethylene glycol,Ceras preparadas de polietilenglicoles,Cires préparé à partir de polyéthylène-glycols
34049011,"Cera artificial de polietileno, emulsionáveis","Artificial waxe of polyethylene, emulsifiable","Cera artificial de polietileno,  emulsionable","Cire artificiel de polyéthylène, émulsifiants"
34049012,"Outras ceras artificiais, de polietileno","Other artificial waxes, of polyethylene",Las demás ceras artificiales de polietileno,"Autres cires artificielles, polyéthylène"
34049013,Cera artificial de polipropilenoglicóis,Artificial waxe of poly propylene glycol,Cera artificial de polipropilenglicoles,Cire artificielle polypropylène-glycols
34049014,"Ceras artificiais de dímero de alquilceteno com dois grupos alternados n-alquila de C12, C14 e C16, em grânulos","Artificial waxes of alkyl ketene dimer, etc.in granules","Ceras artif.de dímero de alquilceteno, etc.en gránulos","Cires artificielles, de dimère d'alkylcétène avec deux groupes n-alkyle alternées de C12, C14 et C16, granulés"
34049019,Outras ceras artificiais,Other artificial waxes,Las demás ceras artificiales,Autres cires artificielles
34049021,Cera preparada à base de vaselina e álcoois de lanolina (eucerina anidra),Prep.waxe with a basis of vaseline and lanolon alcohols,Cera prep.a base de vaselina y alcoholes de lanolina,Cire préparée sur la base de vaseline/lanoline alcools
34049029,Outras ceras preparadas,Other prepared waxes,Las demás ceras preparadas,Autres cires préparées
34051000,"Pomadas, cremes e preparações semelhantes, para calçados ou para couros","Polishes, creams and similar prep.forfootwear or leather","Betunes, cremas y prepars.similares.p/calzados o cueros","Onguents, crèmes et préparations similaires pour chaussures ou pour cuir"
34052000,"Encáusticas e preparações semelhantes, para conservação e limpeza de móveis de madeira, soalhos e de outros artigos de madeira","Polishes, creams prep.for mainten.wooden furniture, etc.","Encáusticos/prepars.p/conserv.de muebles, etc.de madera","Encaustiques/préparations pour l'entretien des meubles, etc., bois"
34053000,"Preparações para dar brilho a pinturas de carroçarias e produtos semelhantes, exceto preparações para dar brilho a metais","Preparations forcoachwork, other than metal polishes, etc","Abrillantadores y preparac.similares p/carrocerías, etc.","Les préparatifs pour le polissage de la peinture de la carrosserie, etc."
34054000,"Pastas, pós e outras preparações para arear",Scouring pastes/powders and other scouring preparation,"Pastas, polvos y demás preparaciones para fregar","Pâtes, poudres et autres préparations à récurer"
34059000,"Outras preparações para dar brilho em vidros, metais, etc.","Other preparations forcoachwork in glass, metal, etc.","Las dem.preparacs.p/dar brillo en vidrios,  metales, etc","Autres préparations pour le polissage du verre, métal, etc."
34060000,"Velas, pavios, círios e artigos semelhantes","Candles, tapers and the like","Velas, cirios y artículos similares","Bougies, mèches e cierges et articles similaires"
34070010,Pastas para modelar,Modelling pastes,Pastas para modelar,Pâtes à modeler
34070020,Ceras para dentistas,Dental wax,Ceras para odontología,Cires dentaires
34070090,"Outras composições para dentistas, à base de gesso","Oth.preparat.foruse in dentistry, with a basis of plaster","Las dem.composiciones para odontología,  a base de yeso","Autres préparations dentaires, à base de plâtre"
35011000,Caseínas,Casein,Caseínas,Caséines
35019011,Caseinato de sódio,Caseinate of sodium,Caseinato de sodio,Le caséinate de sodium
35019019,Outros caseinatos e derivados das caseínas,Other caseinates and other casein derivatives,Los demás caseinatos y derivados de las caseínas,Autres caséinates et dérivés des caséines
35019020,Colas de caseína,Casein glues,Colas de caseína,Colles de caséine
35021100,Ovalbumina seca,Dried egg albumins,Ovoalbúmina seca,Ovalbumine sec
35021900,Outras ovalbuminas,Other egg albumins,Las demás ovoalbúminas,Autres ovalbumine
35022000,"Lactalbumina, incluindo os concentrados de duas ou mais proteínas de soro de leite","Milk albumin, includ.concent.>=2 proteins of serum milk","Lactoalbúmina, incl.concent.>=2 proteínas del lactosuero","Lactalbumine, y compris les concentrés de deux ou plusieurs protéines de lactosérum"
35029000,"Outras albuminas, albuminatos e outros derivados das albuminas","Other albumins, albuminates and oth.deriv.of albumins","Las dem.albúminas, albuminatos y dem.deriv.de las albúm.","Autres albumines, albuminates et autres dérivés des albumines"
35029010,Soroalbumina,Serum albumin,Seroalbúmina,Sérum albumine
35029090,"Outras albuminas, albuminatos e outros derivados das albuminas","Other albumins, albuminates and oth.deriv.of albumins","Las dem.albúminas, albuminatos y dem.deriv.de las albúm.","Autres albumines, albuminates et autres dérivés des albumines"
35030011,"Gelatinas e seus derivados, de osseína, com grau de pureza superior ou igual a 99,98 %, em peso","Ossein gelatin, its derivatives, of a purity of >=99, 98%","Gelatinas de oseína, sus derivs.de pureza>=al99.98%, en p","Gélatines et leurs dérivés, l'osséine, avec une pureté supérieure ou égale à 99,98% en poids"
35030012,"Gelatinas e seus derivados, de osseína, com grau de pureza inferior a 99,98 %, em peso","Ossein gelatin, its derivatives, of a purity of <99, 98%","Gelatinas de oseína, sus derivs.de pureza<al99.98%, en pe","La gélatine et ses dérivés, l'osséine, avec une pureté de moins de 99,98% en poids"
